ticker,mkt_cap_m_yf,cash_m,debt_m,ev_m,operatingCashflow,name,region,primary_modality,size_band,revenue_m_at_t,has_revenue_at_t,net_cash_m,net_cash_to_mc,ev_cash_ratio,inv_ev_cash,peer_log_ev_resid,peer_log_ev_cash_resid,runway_months,cheapness_score,cheapness_raw,z_net_cash_to_mc,z_inv_ev_cash,z_peer_log_ev_resid,z_peer_log_ev_cash_resid,z_runway_months,bucket,ret_1y,ret_3y
XENE,538.4864865068197,45.009,0.0,493.4774865068197,-48124000.0,XENE,US,?,small,32.166,1,45.009,0.08358427022370594,10.963973572103795,0.09120780832091312,0.5294586353231723,0.048783103648850856,11.223256587149862,54.166666666666664,-0.029962251979625883,-0.09195572597567264,-0.29164112530572434,0.6176992155116168,0.04951511159850165,-0.7749017454780289,3.0,1.0312093328130496,1.994798506538591
COGT,363.26695834230424,242.19,0.0,121.07695834230424,-35850000.0,COGT,US,?,small,7.871,1,242.19,0.6666997766743923,0.4999255061823537,2.000298019671831,1.1396644771315718,1.389845788673337,60.0,100.0,2.226264556882675,2.310346037110254,3.0,1.3737184944084098,2.520898426326729,1.542373616025706,1.0,-0.23597504243553657,-0.4764024617876358
BEAM,4674.231056974823,162.171,0.0,4512.060056974823,-95741000.0,BEAM,US,?,mid,0.024,1,162.171,0.034694690532683585,27.822854005801428,0.03594167585365207,-0.43164889227117653,-0.3556505932115366,20.326213429982975,17.708333333333336,-0.46537445932282645,-0.2933695491187987,-0.44672802965317576,-0.5730724391824261,-0.6957973197263365,-0.3424403687479906,5.0,-0.02388531311637221,-0.6665850132673341
AXSM,3044.866994982666,183.876453,48.321848,2909.312389982666,-78456569.0,AXSM,US,?,mid,0.0,0,135.55460499999998,0.04451905624231435,15.82210414936961,0.0632027188393803,-0.24106437716148843,-0.11051315525913208,28.124062320390276,31.25,-0.2633107092155497,-0.2528954221158962,-0.37022854294775254,-0.3369462702570174,-0.24404470537353543,0.028018211348802727,4.0,-0.5362710419391005,-0.023076038476046445
IRON,,4.503,14.0,,-32708000.0,IRON,US,?,unknown,0.0,0,-9.497,,,,,,1.652072887367005,39.58333333333333,-0.12296075461545446,0.0,0.0,0.0,0.0,-1.2296075461545444,4.0,-0.7354545362067946,-0.82496970205596
DNLI,10095.704709562706,507.144,0.0,9588.560709562706,416152000.0,DNLI,US,?,large,335.561,1,507.144,0.050233640403490654,18.906978510172074,0.05289052396510599,-0.7590274429685921,-0.18787104689838152,,19.791666666666664,-0.4216960220846259,-0.2293526497940668,-0.39916645317742633,-0.9786806436057658,-0.386604038948837,0.0,5.0,-0.4675262973181167,-0.7437918035201421
RARE,9249.687234206544,713.526,0.0,8536.161234206544,-132220000.0,RARE,US,?,mid,271.03,1,713.526,0.07714055426234179,11.963349946892677,0.08358862730248369,-0.7085366302682923,0.01089827696016199,60.0,36.45833333333333,-0.13120288688367393,-0.11850235360530362,-0.3130219447164379,-0.9161246580788696,-0.0203011092279594,1.542373616025706,4.0,-0.3925449628908171,-0.6545546324861543
IDYA,413.521024,72.037,0.0,341.484024,55463000.0,IDYA,US,?,small,19.538,1,72.037,0.17420396018365442,4.7403976289962095,0.21095276773475063,0.689355588896976,0.4129363114506923,,81.25,0.40057025592744605,0.2813765530545278,0.04438519384560088,0.8158047911324714,0.7205964650773659,0.0,1.0,0.6885713849748885,1.5414287022181918
CRSP,11317.10180995404,1168.62,0.0,10148.481809954039,-238366000.0,CRSP,US,?,large,0.719,1,1168.62,0.10326141971897183,8.684158931007547,0.11515219930273418,-0.7836750982887799,0.1500233206917151,58.83154476729064,51.041666666666664,-0.054096975197019684,-0.01089039603322456,-0.22444877244738978,-1.0092180480764297,0.2360860944266687,1.4868628883237784,3.0,-0.5050617302775094,-0.5911436338281303
OCUL,1573.1324103809052,228.057,0.0,1345.0754103809052,-53554000.0,OCUL,US,?,small,17.403,1,228.057,0.14496999648286452,5.897979059537332,0.16954960163565674,0.09397934601180635,0.3180478574019806,51.10139298651828,79.16666666666666,0.2706618352575273,0.16093934676607394,-0.07179968419513394,0.07815875928792329,0.5457308568436534,1.119620448404165,2.0,-0.6632850467005542,-0.7845410689002486
OLMA,1889.9401550155335,338.549,0.0,1551.3911550155335,-19866000.0,OLMA,US,?,small,0.0,0,338.549,0.17913212706844542,4.5824715329702155,0.21822285044329148,0.03200466828078952,0.4276513079435156,60.0,82.29166666666666,0.40751623987501273,0.30167946708296195,0.0647863793688587,0.0013747497654835739,0.7477140616034251,1.542373616025706,1.0,-0.8053244737891907,-0.7081946922075766
CGEM,892.2489441981315,168.198,0.0,724.0509441981316,-29772000.0,CGEM,US,?,small,0.0,0,168.198,0.1885101698283996,4.304753589211117,0.23230133369451667,0.36295685512606557,0.4548027868711878,60.0,86.45833333333334,0.5190226172643506,0.3403148461927754,0.10429318557849113,0.4114105385192815,0.7977502849219638,1.542373616025706,1.0,-0.48411901090294307,-0.6593112794260022
ALLO,3545.571426047983,183.351,0.0,3362.220426047983,-115093000.0,ALLO,US,?,mid,0.0,0,183.351,0.0517126798385696,18.33761706261751,0.054532712543036384,-0.3039002028957385,-0.17459181560323156,19.116818572806338,27.083333333333332,-0.341264954077522,-0.223259347518175,-0.3945581708255386,-0.4147972058031385,-0.3621323486828064,-0.39989604759772773,4.0,-0.40887479351855116,-0.8728209165112537
HRMY,2056.5941561581194,228.631,194.25,2022.2131561581193,-2985000.0,HRMY,US,?,mid,159.742,1,34.381,0.016717445149327093,8.844877362029294,0.11305979258604083,-0.08310095216209801,0.14205926807035252,60.0,68.75,0.013978422137645947,-0.367431665118312,-0.2303204494734603,-0.14123625491828368,0.22140950474458856,1.542373616025706,2.0,0.1795296705346887,-0.10650075038205009
ZVRA,50.8179943345747,4.213,67.658,114.2629943345747,-1939000.0,ZVRA,US,?,micro,13.288,1,-63.445,-1.2484750890066976,27.121527257197886,0.0368710799549316,1.1648203785049405,-0.3445630580295258,26.073233625580194,4.166666666666666,-0.8498610057620548,-3.0,-0.4441199512782207,1.4048855942839706,-0.6753646063593374,-0.06941213091337202,5.0,-0.22232141192166144,-0.41517854443922286
BNTC,56.527074,9.801,0.0,46.726074,-7535000.0,BNTC,US,?,micro,0.102,1,9.801,0.17338594246006792,4.76748025711662,0.20975440821328153,1.5531666869069145,0.41046218044070015,15.608759124087591,87.5,0.555364263137715,0.2780065081871417,0.04102237723110318,1.8860302768228827,0.7160370017764877,-0.5665562048452228,1.0,-0.1266666487151501,-0.9366666662926767
SVRA,62.27589695889294,22.88,25.104,64.49989695889295,-39836000.0,SVRA,US,?,micro,0.257,1,-2.224,-0.03571205086725636,2.8190514405110556,0.3547292488634807,1.413166958508818,0.6386480829684902,6.8922582588613315,80.20833333333334,0.38630052962711936,-0.5834291292999589,0.447848370673353,1.712576523257361,1.1365504039170335,-0.9806579115244255,1.0,0.0782609002125969,3.086956440613714
CRVS,101.00657541650486,16.455,0.0,84.55157541650486,-34778000.0,CRVS,US,?,micro,0.0,0,16.455,0.16291018611557825,5.13835159018565,0.1946149426423095,1.2956042752934973,0.37792726626257545,5.6777272988671,83.33333333333334,0.4109267754495348,0.2348488015962017,-0.0014617399679383964,1.5669213215204914,0.6560798909390743,-1.0383575952765118,1.0,-0.32303367287443474,-0.5056179722606675
RIGL,5926.08737,30.373,20.0,5915.714370000001,-52185000.0,RIGL,US,?,mid,108.621,1,10.373000000000001,0.001750396062756665,194.7688529285879,0.005134291160849268,-0.5492812173336215,-1.2007684228514668,6.984305835010061,3.125,-0.9274001498318586,-0.4290924647559606,-0.5331792016413399,-0.7188139242280362,-2.253226458926732,-0.9762849344584864,5.0,-0.24285714285714288,-0.5857142857142856
MRVI,,236.184,400.0,,152187000.0,MRVI,US,?,unknown,284.098,1,-163.816,,,,,,,63.020833333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4937612358477108,-0.7664884003960757
TRVI,44.883223535007474,45.001,0.0,-0.1177764649925237,-29000000.0,TRVI,US,?,micro,0.0,0,45.001,1.0026240643099233,-0.0026171966176868006,,,,18.62110344827586,93.75,0.8576553621567833,3.0,0.0,0.0,0.0,-0.4234463784321681,1.0,-0.6768595121522537,-0.4462809953995067
SLDB,9652.44685872409,154.744,0.0,9497.70285872409,-56599000.0,SLDB,US,?,mid,0.0,0,154.744,0.016031582692438137,61.37687315000316,0.01629278177068472,-0.7548925989554576,-0.6992536758093231,32.80849484973233,8.333333333333332,-0.6469070447562971,-0.37025726068418485,-0.5018664303542477,-0.9735577464209462,-1.3290077838634766,0.2505652557669259,5.0,-0.7691292814022733,-0.9459982407098867
CRMD,249.33664751937104,41.905469,0.0,207.43117851937103,-21967638.0,CRMD,US,?,micro,0.239231,1,41.905469,0.16806782884471225,4.9499786894014015,0.2020210717555492,0.9058519445445916,0.3941477544635652,22.891201502865258,84.375,0.41263633458683774,0.25609710332115976,0.019321216719872067,1.0840346366472688,0.6859718895341588,-0.22058344989770132,1.0,-0.3876177259949869,-0.4939434620008588
NRIX,1277.8770328721619,119.356,0.0,1158.5210328721619,-80000.0,NRIX,US,?,small,17.82,1,119.356,0.09340178822349983,9.706433131741697,0.10302445671106814,0.158822056557276,0.1016914166760593,60.0,73.95833333333334,0.14819084434526078,-0.05150980996224348,-0.25848144257096717,0.1584961403969231,0.14701743083086,1.542373616025706,2.0,-0.11952555284393906,-0.6861314063389174
RLAY,3736.528186068249,447.646,0.0,3288.8821860682488,-102489000.0,RLAY,US,?,mid,82.654,1,447.646,0.11980265575650166,7.347060369283426,0.13610885847362816,-0.2943223371757373,0.22263747531347078,52.41296139097855,70.83333333333334,0.09563617094644392,0.057255691760684777,-0.1656405430457052,-0.4029306344941092,0.3699034112078197,1.181930166846374,2.0,-0.26106838138343347,-0.7350818126787279
STTK,2189.0310523367957,157.898,0.0,2031.1330523367958,-33659000.0,STTK,US,?,mid,9.934,1,157.898,0.0721314573548162,12.863576817545479,0.07773887575623867,-0.08501239408868821,-0.020610660656620983,56.29329451261178,56.25,-0.015395854971841401,-0.13913868071253796,-0.3294374204880831,-0.14360445077611286,-0.0783674946106145,1.3662762241688209,3.0,-0.837626402334324,-0.8639572574852243
SPRY,1608.0570424549942,386.569,0.0,1221.4880424549942,-31196000.0,SPRY,US,?,small,0.0,0,386.569,0.24039507915081887,3.1598189261296024,0.3164738307409531,0.1358367594623502,0.5890888876561498,60.0,91.66666666666666,0.6236049830405831,0.5540687384558723,0.340496650799436,0.13001832759291077,1.0452200211139067,1.542373616025706,1.0,-0.8562796757556727,-0.8817436339872897
MDXG,1007.2465979766941,95.812,50.0,961.4345979766941,-30263000.0,MDXG,US,?,small,248.234,1,45.812,0.04548240727943367,10.034594810427652,0.0996552445705959,0.23980623284145963,0.08725124299573817,37.99173908733437,57.291666666666664,-0.0027365491190714103,-0.2489266374251428,-0.26793606980158124,0.2588321161636771,0.1204062927432532,0.4968097428740163,3.0,-0.33480176072647294,-0.034140910632943555
FDMT,1105.9682157067375,276.726,0.0,829.2422157067375,-50909000.0,FDMT,US,?,small,13.363,1,276.726,0.2502115305575632,2.9966183723493187,0.3337094937504538,0.30404457595682866,0.6121196458190279,60.0,92.70833333333334,0.6955796696932419,0.5945102603512664,0.3888630824852936,0.33842071153942455,1.0876623559017384,1.542373616025706,1.0,-0.4706875722503189,-0.5112183388185519
NUVB,1743.793185072465,29.755,0.0,1714.0381850724648,-36529000.0,NUVB,US,?,small,0.0,0,29.755,0.017063376697829855,57.60504738942917,0.01735958991995388,-0.011294513496725944,-0.6717094545572269,9.774699553779188,10.416666666666668,-0.5600522357803888,-0.36600650670684465,-0.4988727710186538,-0.052271108634110344,-1.2782477936111416,-0.8437194911555416,5.0,-0.27350426166084907,-0.8709401696513277
CRDF,661.6901815814972,130.981,0.0,530.7091815814972,-16315000.0,CRDF,US,?,small,0.366,1,130.981,0.1979491363872802,4.051802792630208,0.24680371952427993,0.497869378097453,0.4811027842475355,60.0,90.625,0.5819513970395771,0.3792012173409685,0.1449895401736437,0.5785614593113535,0.8462173516885818,1.542373616025706,1.0,-0.6659254972014774,-0.9177320712671972
GTBP,,5.297,0.0,,-7262000.0,GTBP,US,?,unknown,0.0,0,5.297,,,,,,8.752960616909942,46.875,-0.08922600516488109,0.0,0.0,0.0,0.0,-0.8922600516488107,3.0,-0.5768590562540816,-0.9646226419671023
ALEC,1200.0550380070258,49.969,0.0,1150.0860380070258,-166734000.0,ALEC,US,?,small,21.098,1,49.969,0.041638923563860286,23.015990674358616,0.04344805375308343,0.1619956481764575,-0.27327858923353476,3.5963150887041633,26.041666666666668,-0.35459903657476427,-0.26476090628640975,-0.42566375648416843,0.16242808644374557,-0.543997706997388,-1.137240892812791,4.0,0.364838034523262,-0.4725710536210156
PRLD,,218.309,0.0,,-46177000.0,PRLD,US,?,unknown,0.0,0,218.309,,,,,,56.73187950711393,72.91666666666666,0.13871124286911865,0.0,0.0,0.0,0.0,1.3871124286911862,2.0,-0.8259958172152828,-0.9403214563409916
PMVP,2754.283510021919,361.422,0.0,2392.861510021919,-32739000.0,PMVP,US,?,mid,0.0,0,361.422,0.1312217855151461,6.62068581885419,0.15104175418688953,-0.1561915846394757,0.26784810452567887,60.0,78.125,0.20506561711454324,0.10429987983085477,-0.123736098755435,-0.23179246312483867,0.45322001969385445,1.542373616025706,2.0,-0.6244512922806736,-0.9496016909571703
